Company Name	Number	URL	is_b2b	serves_1000	sales_pitch	matched_golden_partner	match_reasoning	Industry	Avg Leads Per Day	Rank
ASB Landesverband Berlin e.V.	'+49 175 4345463	http://www.asb-berlin.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning für den Gesundheits- und Sozialbereich, das ebenfalls soziale Einrichtungen und Notdienste anspricht. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Zielgruppe: Soziale Einrichtungen und Notdienste.; Ähnliche Dienstleistungen: Digitale Lernplattformen und E-Learning-Lösungen für den Gesundheits- und Sozialbereich.; Überschneidung im Bereich der Weiterbildung für Mitarbeiter im sozialen Sektor.	Social Services and Emergency Assistance	8.0	6.0
Arbeit und Bildung e. V.	493025930950.0	http://www.aub-berlin.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Bildung, das sich auf den Gesundheits- und Sozialbereich konzentriert und digitale Lernplattformen für benachteiligte Personen anbietet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Zielgruppe: Fokus auf benachteiligte Personen durch digitale Lernplattformen im Gesundheits- und Sozialwesen.; Ähnliche Dienstleistungen: Bereitstellung von E-Learning-Lösungen und Online-Kursen für die berufliche Weiterbildung.; Überschneidung im Bildungsbereich: Beide bieten zielgruppenorientierte Beratungs- und Integrationsdienste an.	Vocational Training and Education	8.0	6.0
rettenmeier	'+49 9853 3380	http://www.rettenmeier.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Holzgroßhandel, das ebenfalls B2B-Kunden aus Handwerk, Industrie und Handel anspricht. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Carl Götz GmbH	Gemeinsame Branche: Holzgroßhandel und Holzverarbeitung.; Ähnliche Produkte: Produkte für den Bau und das Wohnen mit Holz.; Zielgruppe: B2B-Kunden aus Handwerk, Industrie und Handel.	Wood Manufacturing	10.0	17.0
KMZ Kullen Müller Zinser Treuhand GmbH WPG StBG	'+49 7031 8639	http://www.kullen-mueller-zinser.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich eSignatur-Software, das sich an mittelständische Unternehmen richtet, die DATEV nutzen, wie beispielsweise Steuerberater und Wirtschaftsprüfer. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	tegoly	Gemeinsame Zielgruppe: Mittelständische Unternehmen.; Ähnliche Dienstleistungen: tegoly bietet eSignaturlösungen, die für die Mandantenkommunikation relevant sind.; DATEV-Integration: tegoly bietet Integrationen für DATEV-Nutzer, was für Steuerberater und Wirtschaftsprüfer wichtig ist.	Integrated Consulting (Law, Auditing, Tax)	8.0	12.0
Lebenshilfe Nürnberger Land e. V.	'+49 9123 97500	http://www.lebenshilfe-nbg-land.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Healthcare-Technologie, das interaktive Aktivitätstische für Betreuungseinrichtungen anbietet, die sich an Senioren und Menschen mit kognitiven Einschränkungen richten. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	De BeleefTV	Gemeinsame Zielgruppe: Senioren und Menschen mit kognitiven Einschränkungen.; Ähnliche Dienstleistungen: Angebote zur Aktivierung und Förderung von Menschen mit Unterstützungsbedarf.; Fokus auf die Verbesserung der Lebensqualität und Teilhabe von Menschen mit Behinderungen und Senioren.	Social Services	10.0	5.0
ARBEIT UND LEBEN Sachsen e. V. - Bildung für Teilhabe und Demokratie	'+49 341 710050	http://www.arbeitundleben.eu	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning für das Gesundheits- und Sozialwesen, das ebenfalls digitale Lernplattformen für Krankenhäuser, Pflegeheime und soziale Einrichtungen anbietet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Ausrichtung auf den Bildungssektor, insbesondere digitale Bildung.; Überschneidung im Bereich Gesundheits- und Sozialwesen als Zielgruppe.; Ähnliche Produkte/Services: Digitale Lernplattformen und E-Learning-Lösungen.	Education and Social Services	8.0	6.0
Kröger GmbH	'+49 49 36917880	http://www.kroeger-grossheide.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine App für digitale Vermessung im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Gemeinsame Branche: Baugewerbe / Tiefbau.; Ähnliche Produkte/Services: GPS-gestützte Vermessung und Navigation.; Zielgruppe: Bauunternehmen.	Construction, Transport, and Environmental Services	5.0	11.0
Stadt Unterschleissheim	4989310095090.0	http://www.unterschleissheim.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Dienstleistungen und Smart-Home-Technologie, das sich auf die Implementierung von Schwesternrufsystemen in Seniorenresidenzen und Pflegeeinrichtungen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	visitronic GmbH	Zielgruppe: Seniorenresidenzen und Pflegeeinrichtungen (speziell für Schwesternrufsysteme).; Dienstleistungen: Beratung und Implementierung innovativer Schwesternrufsysteme und Lichtrufsysteme.; Technologische Überschneidung: IT-Dienstleistungen und Smart-Home-Technologie könnten für städtische Dienstleistungen relevant sein.	Government/Municipal Services	3.0	29.0
events united	'+49 89 18006010	http://www.events-united.eu	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Weiterbildung, das sich auf interaktive Lernplattformen für den Gesundheits- und Sozialbereich spezialisiert hat. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Ausrichtung auf digitale Formate und interaktive Module.; Überschneidung im Bereich digitale Lösungen: Events United bietet Eventplattform-Entwicklung, Relias Learning digitale Lernplattformen.; Potenzielle Synergien bei der Integration von interaktiven Elementen in digitale Events.	Event Management	8.0	6.0
Leipziger Volksbank	'+49 34 169790	http://www.leipziger-volksbank.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich eSignatur-Software, das sich an kleine und mittelständische Unternehmen richtet, die DATEV nutzen. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	tegoly	Ähnliche Zielgruppe: KMUs, die DATEV nutzen.; Produkte/Services: tegoly bietet eSignaturlösungen, die für Finanzdienstleistungen relevant sein könnten.; Fokus auf digitale Lösungen und Effizienzsteigerung.	Financial Services	8.0	12.0
Stadt.Freising	'+49 8161 5426000	http://www.freising.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Dienstleistungen, das sich auf die Implementierung von IT-Systemen und Netzwerken spezialisiert hat, unter anderem auch für Seniorenresidenzen und Pflegeeinrichtungen. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	visitronic GmbH	Gemeinsame Zielgruppe: Bürger und Unternehmen, die Dienstleistungen und Informationen von lokalen Behörden benötigen.; Ähnliche Dienstleistungen: Bereitstellung von Online-Diensten und Informationen für die Öffentlichkeit.; Technologie: Fokus auf IT-Systeme und Netzwerke zur Bereitstellung von Dienstleistungen.	Government/Municipal Services	3.0	29.0
Deutsches Studierendenwerk (DSW) e. V.	49302977276768.0	http://www.studierendenwerke.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Bildung, das sich auf Krankenhäuser, Pflegeheime und soziale Einrichtungen spezialisiert hat und dort die Mitarbeiter schult. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Zielgruppe: Studierende im Hochschulbereich, insbesondere im Gesundheits- und Sozialwesen.; Ähnliche Produkte/Services: Bereitstellung von Lernmaterialien und Weiterbildungsangeboten, sowohl digital als auch in Präsenz.; Überschneidung im Bereich der Unterstützung von Studierenden durch digitale Lernplattformen und E-Learning-Lösungen.	Student Services	8.0	6.0
ADI Akademie der Immobilienwirtschaft GmbH	'+49 711 3000506	http://www.adi-akademie.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Steuerbildung, das ebenfalls Fachleute im Steuerbereich anspricht. Für dieses Unternehmen generieren wir täglich 15 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Steuerköpfe.de	Gemeinsame Zielgruppe: Fachkräfte im Bereich Steuern und Immobilien.; Ähnliche Produkte/Services: Bildungsplattform mit Webinaren und Videokursen.; Überschneidung bei der Bereitstellung von Inhalten in digitalen Formaten.	Real Estate Education	15.0	9.0
Meinders & Elstermann GmbH & Co. KG	4954068080.0	http://www.meinders-elstermann.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Druck- und Mailautomatisierung, das sich an Unternehmen mit hohem Druck- und Mailvolumen richtet, insbesondere im E-Commerce. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	BlueCrest Inc.	Gemeinsame Branche: Automatisierung von Druck- und Mailprozessen.; Ähnliche Produkte/Services: Drucksysteme, Sortiersysteme und Softwarelösungen zur Prozessoptimierung.; Zielgruppe: Unternehmen mit hohem Druck- und Mailvolumen, insbesondere im E-Commerce und der Intralogistik.	Printing and Related Services	5.0	38.0
SVG Süd	'+49 71 14019171	http://www.svg-sued.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Logistiklösungen, das sich ebenfalls an Transport- und Logistikunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	NxtLog	Gemeinsame Branche: Logistik und Transport.; Ähnliche Produkte/Services: Digitale Lösungen für Logistikprozesse und Supply Chain Management.; Fokus auf Effizienzsteigerung und Automatisierung in der Logistik.	Transport and Logistics	5.0	20.0
SRH Kliniken Landkreis Sigmaringen GmbH	'+49 757 11000	http://www.kliniken-sigmaringen.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich HealthTech, das intelligente Systeme zur Überwachung von Drainagen und Kathetern für Krankenhäuser und Pflegeeinrichtungen entwickelt. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Elixion Medical	Gemeinsame Industrie: HealthTech und Digitalisierung von Gesundheitsprozessen.; Gemeinsame Zielgruppe: Krankenhäuser und Pflegeeinrichtungen.; Fokus auf innovative Lösungen und Automatisierung im Gesundheitswesen.	Hospital / Healthcare	5.0	4.0
Gläser GmbH & Co. KG	495445583.0	http://www.glaeser-landtechnik.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine innovative App für digitale Vermessung im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Ähnliche Ausrichtung auf Technologie für spezifische Branchen (Landwirtschaft vs. Bauwesen).; Beide bieten digitale Lösungen zur Verbesserung von Prozessen (Landwirtschaftliche Maschinen nach Maß vs. digitale Vermessung).; Überschneidung im Bereich GPS-gestützte Lösungen.	Agricultural and Gardening Technology	5.0	11.0
BrandCrock GmbH	'+49 89 21547447	http://www.brandcrock.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur, die sich auf E-Commerce-Lösungen und Online-Marketing für Unternehmen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Digitalagentur1	Gemeinsame Schwerpunkte: E-Commerce-Entwicklung und Webentwicklung.; Ähnliche Dienstleistungen: SEO und Online-Marketing-Services.; Beide bedienen Unternehmen als Zielgruppe.	E-commerce Development	3.0	26.0
Lohfert & Lohfert AG	'+49 40 419060	http://www.lohfert.net	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Personalvermittlungsplattform für Gesundheitsfachkräfte, das sich ebenfalls an Arbeitgeber im Gesundheitswesen, einschließlich Krankenhäuser und Kliniken, richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	MEDWING GmbH	Gemeinsame Zielgruppe: Krankenhäuser und Kliniken.; Ähnliche Dienstleistungen: Beide Unternehmen bieten Dienstleistungen für Krankenhäuser und Kliniken an.; Fokus auf den Gesundheitssektor.	Healthcare Consulting	5.0	24.0
Rechtsanwaltskammer München	'+49 89 5329440	http://www.rak-muenchen.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Legal Tech Software, das sich an Notare richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Notara	Gemeinsame Zielgruppe: Notare und Rechtsanwälte (beide im Rechtsbereich tätig).; Branche: Legal Tech Software (speziell für Notare und Anwälte).; Fokus auf Digitalisierung und Automatisierung von Prozessen im Rechtsbereich.	Legal Services	5.0	3.0
EC Bad Nauheim	'+49 6032 86782510	http://www.ec-bn.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Merchandise, das sich auf die Herstellung von personalisierten Artikeln und Fanartikeln für Marken und Unternehmen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	DasMerch	Ähnliche Produkte/Services: Fanartikel und personalisierte Artikel.; Gemeinsame Zielgruppe: Unternehmen und Marken, die Merchandise zur Fanbindung nutzen.; DasMerch bietet Full-Service-Produktion, ähnlich wie der Sportverein Sponsorships und VIP-Pakete anbietet.	Sports Club	5.0	33.0
